title,thumbnail,date,views,user_id,description,categories,link
Explainable AI for healthcare decision support.,1.jpg,25/11/2023,0,1,Explainable AI for healthcare decision support.,Artificial Intelligence and Machine Learning,Reference
Adversarial machine learning and its security implications.,2.jpg,25/11/2023,0,1,Adversarial machine learning and its security implications.,Artificial Intelligence and Machine Learning,https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-020-01332-6
Natural language understanding and generation using deep learning.,3.jpg,25/11/2023,0,1,Natural language understanding and generation using deep learning.,Artificial Intelligence and Machine Learning,https://www.sciencedirect.com/science/article/abs/pii/S0743731518309183
Reinforcement learning for robotics.,4.jpg,25/11/2023,0,1,Reinforcement learning for robotics.,Artificial Intelligence and Machine Learning,https://arxiv.org/pdf/1807.10854.pdf
Transfer learning in deep neural networks.,5.jpg,25/11/2023,0,1,Transfer learning in deep neural networks.,Artificial Intelligence and Machine Learning,https://www.ri.cmu.edu/pub_files/2013/7/Kober_IJRR_2013.pdf
Ethics in AI and algorithmic bias.,6.jpg,25/11/2023,0,1,Ethics in AI and algorithmic bias.,Artificial Intelligence and Machine Learning,https://www.mdpi.com/2076-3417/10/6/2145
Quantum machine learning.,7.jpg,25/11/2023,0,1,Quantum machine learning.,Artificial Intelligence and Machine Learning,https://www.researchgate.net/publication/355097422_ARTIFICIAL_INTELLIGENCE'S_ALGORITHMIC_BIAS_ETHICAL_AND_LEGAL_ISSUES
AI for drug discovery and it's clinical relevance.,8.jpg,25/11/2023,0,1,AI for drug discovery and it's clinical relevance.,Artificial Intelligence and Machine Learning,https://arxiv.org/pdf/2201.04093.pdf
AI-driven personalized education.,9.jpg,25/11/2023,0,1,AI-driven personalized education.,Artificial Intelligence and Machine Learning,https://www.sciencedirect.com/science/article/pii/S2405844023047837
AI in autonomous vehicles.,10.jpg,25/11/2023,0,1,AI in autonomous vehicles.,Artificial Intelligence and Machine Learning,https://www.sciencedirect.com/science/article/pii/S2666920X22000236
Social network analysis and influence prediction.,11.jpg,25/11/2023,0,1,Social network analysis and influence prediction.,Data Science and Big Data,https://www.researchgate.net/publication/370300534_Artificial_Intelligence_in_Self_Driving_Cars_Applications_Implications_and_Challenges
Data-driven healthcare management.,12.jpg,25/11/2023,0,1,Data-driven healthcare management.,Data Science and Big Data,https://www.sciencedirect.com/science/article/pii/S240589632033278X
Anomaly detection in large-scale data.,13.jpg,25/11/2023,0,1,Anomaly detection in large-scale data.,Data Science and Big Data,https://translational-medicine.biomedcentral.com/articles/10.1186/s12967-021-02714-8
Big data analytics for climate change.,14.jpg,25/11/2023,0,1,Big data analytics for climate change.,Data Science and Big Data,https://journalofbigdata.springeropen.com/articles/10.1186/s40537-020-00320-x
Streaming data analysis and real-time decision-making.,15.jpg,25/11/2023,0,1,Streaming data analysis and real-time decision-making.,Data Science and Big Data,https://www.sciencedirect.com/science/article/abs/pii/S0268401221001419
Text mining and sentiment analysis.,16.jpg,25/11/2023,0,1,Text mining and sentiment analysis.,Data Science and Big Data,https://journalofbigdata.springeropen.com/articles/10.1186/s40537-019-0210-7
Data privacy and ethics in data science.,17.jpg,25/11/2023,0,1,Data privacy and ethics in data science.,Data Science and Big Data,https://www.mdpi.com/2078-2489/12/10/414
Scalable data storage solutions.,18.jpg,25/11/2023,0,1,Scalable data storage solutions.,Data Science and Big Data,https://www.mdpi.com/2071-1050/12/20/8744
Zero-day vulnerability detection.,19.jpg,25/11/2023,0,1,Zero-day vulnerability detection.,Cybersecurity,https://www.researchgate.net/publication/315572340_Scalable_Storage_for_Data-Intensive_Computing
Blockchain and cryptocurrency security.,20.jpg,25/11/2023,0,1,Blockchain and cryptocurrency security.,Cybersecurity,https://www.sciencedirect.com/science/article/abs/pii/S2214212617303198
Secure multi-party computation.,21.jpg,25/11/2023,0,1,Secure multi-party computation.,Cybersecurity,https://www.sciencedirect.com/science/article/pii/S2096720922000070
Biometric authentication systems.,22.jpg,25/11/2023,0,1,Biometric authentication systems.,Cybersecurity,https://www.sciencedirect.com/science/article/abs/pii/S0020025518308338
Effect of security and privacy on IoT device purchase behaviour,23.jpg,25/11/2023,0,1,Effect of security and privacy on IoT device purchase behaviour,Cybersecurity,https://www.sciencedirect.com/science/article/abs/pii/S2214785321048513
Ransomware detection and mitigation using software-defined networking,24.jpg,25/11/2023,0,1,Ransomware detection and mitigation using software-defined networking,Cybersecurity,https://www.sciencedirect.com/science/article/pii/S0167404820304053
AI-driven cybersecurity solutions.,25.jpg,25/11/2023,0,1,AI-driven cybersecurity solutions.,Cybersecurity,https://www.sciencedirect.com/science/article/abs/pii/S0045790618323164
Cybersecurity for critical infrastructure.,26.jpg,25/11/2023,0,1,Cybersecurity for critical infrastructure.,Cybersecurity,https://www.sciencedirect.com/science/article/pii/S1566253523001136
